fips,lat,lon
016021,48.710599,-116.302645
016023,43.697316,-113.302190
016025,43.352907,-114.754454
016027,43.612485,-116.625046
016029,42.646162,-111.652123
016031,42.487358,-113.747762
016033,44.194725,-112.262134
016035,46.489093,-116.190755
016037,44.280306,-114.096283
016039,43.117658,-115.685056
016041,42.098212,-111.871828
016043,44.012878,-111.616883
016045,43.883064,-116.507732
016047,42.853491,-114.750399
016049,45.972026,-116.105519
016051,43.687090,-111.959043
016053,42.699506,-114.464966
016055,47.738595,-116.837402
016057,46.742589,-116.934836
016059,45.130443,-113.860990
016061,46.237559,-116.264039
016063,42.971703,-114.333319
016065,43.819187,-111.793855
016067,42.611171,-113.712634
016069,46.393945,-116.952097
016071,42.182230,-112.295487
016073,43.393385,-116.704658
016075,44.019562,-116.893339
016077,42.774583,-112.827325
016079,47.514916,-116.091781
016081,43.692414,-111.122065
016083,42.560260,-114.499626
016085,44.766234,-116.074739
016087,44.298270,-116.920980
017001,39.943853,-091.327397
017003,37.152943,-089.294878
017005,38.884765,-089.432041
017007,42.294302,-088.852137
017009,39.966021,-090.747509
017011,41.382406,-089.420549
017013,39.122999,-090.638209
017015,42.067256,-089.969163
017017,39.980410,-090.320947
017019,40.126856,-088.236460
017021,39.525376,-089.254079
017023,39.351511,-087.796198
017025,38.715726,-088.491810
017027,38.588708,-089.485747
017029,39.487996,-088.264625
017031,41.869515,-087.757998
017033,39.004797,-087.750005
017035,39.275024,-088.280686
017037,41.927566,-088.726804
017039,40.170876,-088.911355
017041,39.766979,-088.280371
017043,41.848928,-088.071268
017045,39.636396,-087.713766
017047,38.401606,-088.041233
017049,39.095854,-088.573292
017051,38.995881,-089.033955
017053,40.521655,-088.219432
017055,37.963987,-088.953694
017057,40.524812,-090.116575
017059,37.772903,-088.239193
017061,39.368918,-090.371192
017063,41.349990,-088.344624
017065,38.091614,-088.558979
017067,40.425023,-091.202357
017069,37.478271,-088.295955
017071,40.824767,-090.944727
017073,41.350891,-090.135800
017075,40.762253,-087.838453
017077,37.750199,-089.277101
017079,39.003923,-088.162638
017081,38.311195,-088.911598
017083,39.075249,-090.319327
017085,42.411305,-090.308466
017087,37.470122,-088.876484
017089,41.928443,-088.335420
017091,41.150459,-087.851699
017093,41.660760,-088.375603
017095,40.937986,-090.327754
017097,42.311645,-087.970527
017099,41.354304,-088.895139
017101,38.718154,-087.745966
017103,41.812143,-089.401894
017105,40.901840,-088.576241
017107,40.141565,-089.361411
017109,40.469965,-090.667814
017111,42.270305,-088.351365
017113,40.493799,-088.953797
017115,39.850646,-088.946554
017117,39.191697,-089.877091
017119,38.801004,-090.012645
017121,38.590624,-089.016141
017123,41.043266,-089.316199
017125,40.286175,-089.899393
017127,37.180880,-088.717761
017129,39.996935,-089.799159
017131,41.214503,-090.686612
017133,38.362245,-090.171982
017135,39.198374,-089.507428
017137,39.717059,-090.228380
017139,39.631716,-088.612657
017141,42.028664,-089.254030
017143,40.746692,-089.639949
017145,38.057689,-089.322400
017147,40.008986,-088.581901
017149,39.621897,-090.861323
017151,37.400771,-088.555783
017153,37.198544,-089.130564
017155,41.230538,-089.268100
017157,38.061445,-089.809741
017159,38.725443,-088.087850
017161,41.489119,-090.502512
017163,38.548186,-089.990225
017165,37.753419,-088.538134
017167,39.771106,-089.654882
017169,40.130099,-090.568789
017171,39.645952,-090.461992
017173,39.399379,-088.800594
017175,41.098391,-089.791981
017177,42.324957,-089.643639
017179,40.605153,-089.530221
017181,37.469028,-089.234288
017183,40.151056,-087.655499
017185,38.431889,-087.788862
017187,40.890671,-090.636753
017189,38.360726,-089.395405
017191,38.408213,-088.421765
017193,38.088921,-088.196465
017195,41.781958,-089.825250
017197,41.565502,-088.058558
017199,37.754392,-088.976636
017201,42.308321,-089.060442
017203,40.769160,-089.291630
018001,40.749532,-084.934318
018003,41.100842,-085.125233
018005,39.215015,-085.905294
018007,40.576258,-087.291866
018009,40.468109,-085.345621
018011,40.004643,-086.383249
018013,39.236665,-086.208688
018015,40.579184,-086.601213
018017,40.747129,-086.338974
018019,38.373412,-085.732548
018021,39.469332,-087.123964
018023,40.297795,-086.513556
018025,38.315739,-086.422116
018027,38.697526,-087.096158
018029,39.146760,-084.920533
018031,39.320693,-085.493081
018033,41.377157,-085.034535
018035,40.205240,-085.402908
018037,38.358680,-086.915674
018039,41.637245,-085.905688
018041,39.640370,-085.147252
018043,38.322230,-085.857888
018045,40.149410,-087.274375
018047,39.398519,-085.070967
018049,41.059339,-086.217151
018051,38.305848,-087.549447
018053,40.525256,-085.644184
018055,39.052523,-086.994152
018057,40.001506,-086.057612
018059,39.815247,-085.829626
018061,38.234174,-086.098168
018063,39.773147,-086.411080
018065,39.928844,-085.403738
018067,40.470296,-086.133562
018069,40.869855,-085.486182
018071,38.928711,-085.936294
018073,41.082454,-087.150606
018075,40.430767,-085.028696
018077,38.758699,-085.433151
018079,39.005508,-085.649705
018081,39.555913,-086.115187
018083,38.699306,-087.454832
018085,41.267835,-085.830509
018087,41.632874,-085.467264
018089,41.518998,-087.407505
018091,41.632279,-086.791226
018093,38.847818,-086.495942
018095,40.113496,-085.708800
018097,39.788896,-086.136268
018099,41.347653,-086.272256
018101,38.679659,-086.850513
018103,40.729384,-086.076111
018105,39.162275,-086.538570
018107,40.034526,-086.900580
018109,39.512934,-086.399124
018111,40.999168,-087.380490
018113,41.415849,-085.388959
018115,38.954376,-084.909987
018117,38.562253,-086.495955
018119,39.314578,-086.798175
018121,39.757908,-087.225163
018123,38.008616,-086.705505
018125,38.427019,-087.233088
018127,41.513979,-087.104333
018129,38.012717,-087.819868
018131,41.051366,-086.684796
018133,39.646449,-086.834304
018135,40.169491,-084.996903
018137,39.160663,-085.219308
018139,39.622090,-085.475672
018141,41.676420,-086.227079
